case_id,animal_type,pet_age,symptoms_text,predicted_illness,confidence_override,severity_override
115,cat,13,weight loss increased appetite hyperactive unkempt appearance vomiting diarrhea,Hyperthyroidism,0.83,high
116,cat,2,red eyes eye discharge squinting pawing at eyes swollen eyes watery eyes third eyelid visible,Feline Conjunctivitis,0.92,low
117,cat,3,eye discharge red eyes squinting swollen eyes crusty eyes watery eyes,Feline Conjunctivitis,0.89,low
118,cat,1,red eyes eye discharge squinting pawing at eyes third eyelid visible,Feline Conjunctivitis,0.87,low
119,cat,4,eye discharge watery eyes red eyes squinting crusty eyes,Feline Conjunctivitis,0.85,low
120,cat,2,squinting eye discharge red eyes swollen eyes pawing at eyes,Feline Conjunctivitis,0.83,low
121,cat,3,coughing retching vomiting hair long-haired cat excessive grooming constipation,Hairballs,0.91,low
122,cat,4,coughing retching hacking vomiting hair excessive grooming loss of appetite long-haired,Hairballs,0.88,low
123,cat,2,retching vomiting hair hair ball long-haired excessive grooming,Hairballs,0.86,low
124,cat,5,coughing hacking retching loss of appetite constipation long-haired excessive grooming,Hairballs,0.84,low
125,cat,3,retching vomiting hair constipation lethargy long-haired cat,Hairballs,0.82,low
126,cat,9,increased thirst increased urination weight loss lethargy poor appetite vomiting bad breath older cat,Feline CKD,0.92,high
127,cat,10,increased thirst increased urination weight loss lethargy vomiting bad breath older cat,Feline CKD,0.89,high
128,cat,11,weight loss lethargy poor appetite vomiting increased thirst increased urination older cat,Feline CKD,0.87,high
129,cat,8,increased thirst increased urination weight loss lethargy bad breath older cat,Feline CKD,0.85,high
130,cat,12,weight loss lethargy poor appetite vomiting bad breath older cat weight loss despite eating,Feline CKD,0.83,high
131,cat,2,circular bald patches scaly skin broken hair red patches crusty lesions itching head lesions,Feline Ringworm,0.91,low
132,cat,1,bald patches scaly skin broken hair red lesions crusty lesions,Feline Ringworm,0.88,low
133,cat,3,circular lesion scaly skin broken hair itching head lesions,Feline Ringworm,0.86,low
134,cat,4,bald patches scaly skin crusty lesions ears affected itching,Feline Ringworm,0.84,low
135,cat,1,itching scaly skin broken hair red patches circular lesion spreading,Feline Ringworm,0.82,low
136,bird,2,fluffed feathers lethargy loss of appetite weight loss eye discharge nasal discharge green droppings,Avian Chlamydiosis,0.92,high
137,bird,3,fluffed feathers lethargy weight loss diarrhea green droppings respiratory signs human flu symptoms,Avian Chlamydiosis,0.89,high
138,bird,1,lethargy loss of appetite nasal discharge eye discharge green droppings respiratory,Avian Chlamydiosis,0.87,high
139,bird,4,fluffed feathers lethargy weight loss diarrhea respiratory signs eye discharge,Avian Chlamydiosis,0.85,high
140,bird,2,fluffed feathers loss of appetite nasal discharge green droppings lethargy,Avian Chlamydiosis,0.83,high
141,bird,3,labored breathing open-mouth breathing sneezing nasal discharge tail bobbing lethargy wheezing moldy environment,Aspergillosis,0.91,high
142,bird,2,open-mouth breathing labored breathing nasal discharge lethargy loss of appetite tail bobbing,Aspergillosis,0.88,high
143,bird,4,labored breathing wheezing sneezing nasal discharge lethargy damp environment,Aspergillosis,0.86,high
144,bird,1,respiratory distress tail bobbing lethargy loss of appetite nasal discharge sneezing,Aspergillosis,0.84,high
145,bird,3,labored breathing open-mouth breathing wheezing nasal discharge lethargy mold exposure,Aspergillosis,0.82,high
146,bird,1,feather loss abnormal feathers beak abnormalities beak overgrowth deformed beak immune suppressed young parrot,PBFD,0.93,critical
147,bird,2,feather loss abnormal feathers beak deformities immune suppressed recurring infections,PBFD,0.90,critical
148,bird,3,abnormal feathers feather loss beak overgrowth deformed beak immune suppressed,PBFD,0.87,critical
149,bird,1,feather loss beak abnormalities abnormal feathers immune suppressed young parrot,PBFD,0.85,critical
150,bird,2,feather loss abnormal feathers deformed beak immune suppressed young bird,PBFD,0.83,critical
151,bird,1,enlarged thyroid difficulty swallowing crop problems labored breathing lethargy seed-only diet gurgling sounds,Avian Goiter,0.90,moderate
152,bird,2,enlarged thyroid difficulty swallowing crop problems lethargy poor feather quality seed-only diet,Avian Goiter,0.87,moderate
153,bird,3,crop problems difficulty swallowing labored breathing gurgling sounds seed-only diet,Avian Goiter,0.84,moderate
154,bird,1,difficulty swallowing enlarged thyroid labored breathing lethargy seed-only diet,Avian Goiter,0.82,moderate
155,bird,2,enlarged thyroid crop problems lethargy poor feather quality seed diet,Avian Goiter,0.80,moderate
156,bird,2,white patches in mouth crop impaction loss of appetite regurgitation lethargy sour crop smell weight loss,Candidiasis,0.91,moderate
157,bird,1,white patches in mouth regurgitation crop impaction loss of appetite weight loss,Candidiasis,0.88,moderate
158,bird,3,regurgitation sour crop smell white patches in mouth lethargy weight loss,Candidiasis,0.85,moderate
159,bird,2,loss of appetite regurgitation white patches crop impaction lethargy,Candidiasis,0.83,moderate
160,bird,1,white patches in mouth sour crop smell regurgitation loss of appetite,Candidiasis,0.81,moderate
161,bird,2,white spots in mouth nasal discharge eye problems poor feather quality lethargy loss of appetite seed-only diet,Vitamin A Deficiency,0.90,moderate
162,bird,3,white spots in mouth eye problems poor feather quality squinting lethargy seed diet,Vitamin A Deficiency,0.87,moderate
163,bird,1,nasal discharge eye problems white spots in mouth poor feather quality seed-only,Vitamin A Deficiency,0.84,moderate
164,bird,2,eye problems white spots in mouth poor feather quality lethargy loss of appetite,Vitamin A Deficiency,0.82,moderate
165,bird,3,white spots in mouth squinting eye discharge poor feather quality seed-only diet,Vitamin A Deficiency,0.80,moderate
166,bird,3,feather plucking bald patches skin damage self-mutilation stressed bird boredom lonely,Feather Plucking,0.93,moderate
167,bird,2,feather plucking self-mutilation bald patches stressed bird cage-bound attention-seeking,Feather Plucking,0.90,moderate
168,bird,4,feather plucking bald patches skin damage boredom lonely stressed bird,Feather Plucking,0.87,moderate
169,bird,2,bald patches self-mutilation feather plucking stressed bird lonely cage-bound,Feather Plucking,0.85,moderate
170,bird,3,feather plucking self-mutilation skin damage boredom attention-seeking stressed bird,Feather Plucking,0.83,moderate
171,rabbit,2,sneezing nasal discharge snuffling sounds matted front paws weepy eyes lethargy loss of appetite,Rabbit Snuffles,0.92,moderate
172,rabbit,3,sneezing nasal discharge snuffles matted paws lethargy loss of appetite,Rabbit Snuffles,0.89,moderate
173,rabbit,1,sneezing nasal discharge weepy eyes lethargy loss of appetite matted paws,Rabbit Snuffles,0.87,moderate
174,rabbit,4,sneezing nasal discharge snuffling sounds wheezing lethargy loss of appetite,Rabbit Snuffles,0.85,moderate
175,rabbit,2,snuffling sounds nasal discharge matted front paws weepy eyes lethargy,Rabbit Snuffles,0.83,moderate
176,rabbit,3,not eating no droppings hunched posture lethargy abdominal pain small droppings grinding teeth,Gastrointestinal Stasis,0.95,critical
177,rabbit,2,not eating no droppings bloated hunched posture lethargy refusing treats grinding teeth,Gastrointestinal Stasis,0.92,critical
178,rabbit,4,not eating no droppings lethargy abdominal pain grinding teeth bloated,Gastrointestinal Stasis,0.89,critical
179,rabbit,1,not eating no droppings hunched posture grinding teeth small droppings,Gastrointestinal Stasis,0.87,critical
180,rabbit,3,not eating no droppings lethargy abdominal pain grinding teeth refusing treats,Gastrointestinal Stasis,0.85,critical
181,rabbit,2,head tilt circling loss of balance tremors cataracts kidney failure paralysis weight loss,E. cuniculi,0.92,high
182,rabbit,3,head tilt circling tremors weight loss cataracts white spots on eyes kidney failure,E. cuniculi,0.89,high
183,rabbit,1,head tilt circling loss of balance paralysis tremors weight loss,E. cuniculi,0.87,high
184,rabbit,4,head tilt circling tremors cataracts kidney failure weight loss,E. cuniculi,0.85,high
185,rabbit,2,circling head tilt loss of balance tremors cataracts white spots on eyes,E. cuniculi,0.83,high
186,rabbit,3,maggots soiled fur lethargy loss of appetite shock foul smell hot weather dirty hutch weak rabbit,Flystrike,0.95,critical
187,rabbit,2,soiled fur maggots lethargy shock foul smell hot weather weak rabbit,Flystrike,0.92,critical
188,rabbit,1,maggots soiled fur lethargy loss of appetite shock hot weather,Flystrike,0.89,critical
189,rabbit,4,soiled fur maggots foul smell shock lethargy hot humid weather,Flystrike,0.87,critical
190,rabbit,3,maggots soiled fur loss of appetite shock weak rabbit hot weather,Flystrike,0.85,critical
191,rabbit,2,drooling wet chin not eating weight loss difficulty chewing dropping food teeth overgrown,Rabbit Dental Disease,0.91,moderate
192,rabbit,3,drooling wet chin not eating weight loss difficulty chewing teeth overgrown spikes on teeth,Rabbit Dental Disease,0.88,moderate
193,rabbit,1,drooling wet chin dropping food difficulty chewing weight loss,Rabbit Dental Disease,0.86,moderate
194,rabbit,4,weight loss difficulty chewing dropping food teeth overgrown drooling wet chin,Rabbit Dental Disease,0.84,moderate
195,rabbit,2,teeth overgrown spikes on teeth drooling wet chin not eating difficulty chewing,Rabbit Dental Disease,0.82,moderate
196,rabbit,5,blood in urine aggressive behavior lethargy poor appetite weight loss female rabbit over 4 years,E. cuniculi,0.89,high
197,rabbit,6,weight loss poor appetite lethargy lumps in abdomen blood in urine female rabbit,E. cuniculi,0.86,high
198,rabbit,5,weight loss lethargy poor appetite blood in urine female rabbit,E. cuniculi,0.84,high
199,rabbit,4,weight loss poor appetite lethargy blood in urine lumps in abdomen,E. cuniculi,0.82,high
200,rabbit,5,weight loss blood in urine poor appetite lethargy older female rabbit,E. cuniculi,0.80,high
201,hamster,0.5,wet tail diarrhea lethargy loss of appetite hunched posture matted fur death young hamster, Wet Tail,0.94,critical
202,hamster,1,wet tail diarrhea lethargy loss of appetite matted fur hunched posture stress, Wet Tail,0.91,critical
203,hamster,0.3,diarrhea wet tail lethargy loss of appetite hunched posture young hamster, Wet Tail,0.89,critical
204,hamster,0.5,matted fur wet tail diarrhea hunched posture lethargy loss of appetite, Wet Tail,0.87,critical
205,hamster,1,wet tail diarrhea lethargy hunched posture loss of appetite young hamster, Wet Tail,0.85,critical
206,hamster,2,sneezing runny nose labored breathing wheezing lethargy loss of appetite wet fur around nose,Hamster Respiratory Infection,0.91,moderate
207,hamster,1,sneezing labored breathing wheezing nasal discharge lethargy loss of appetite,Hamster Respiratory Infection,0.88,moderate
208,hamster,2,runny nose sneezing labored breathing lethargy clicking sounds loss of appetite,Hamster Respiratory Infection,0.86,moderate
209,hamster,1,wheezing sneezing labored breathing nasal discharge lethargy,Hamster Respiratory Infection,0.84,moderate
210,hamster,2,sneezing labored breathing wheezing lethargy wet fur around nose,Hamster Respiratory Infection,0.82,moderate
211,hamster,2,lumps weight loss lethargy difficulty moving loss of appetite older hamster,Hamster Tumors,0.91,high
212,hamster,3,visible growth lumps weight loss lethargy loss of appetite older hamster,Hamster Tumors,0.88,high
213,hamster,1.5,lumps weight loss difficulty moving lethargy loss of appetite,Hamster Tumors,0.86,high
214,hamster,2.5,weight loss lumps lethargy difficulty moving visible growth older hamster,Hamster Tumors,0.84,high
215,hamster,1,weight loss lumps difficulty moving lethargy older hamster visible growth,Hamster Tumors,0.82,high
216,hamster,2,increased thirst increased urination weight loss lethargy cloudy eyes Chinese hamster genetics,Diabetes Mellitus,0.90,high
217,hamster,1,increased thirst increased urination weight loss lethargy cloudy eyes genetics,Diabetes Mellitus,0.87,high
218,hamster,2,increased urination increased thirst weight loss lethargy cloudy eyes,Diabetes Mellitus,0.85,high
219,hamster,1.5,increased thirst increased urination lethargy weight loss cloudy eyes,Diabetes Mellitus,0.83,high
220,hamster,2,weight loss increased thirst increased urination lethargy cloudy eyes,Diabetes Mellitus,0.81,high
221,hamster,1,hair loss circular lesions scaly skin itching red skin crusty patches spreading,Fungal Infection,0.90,low
222,hamster,2,hair loss scaly skin circular lesions itching red skin,Fungal Infection,0.87,low
223,hamster,1.5,itching hair loss red skin scaly lesions crusty patches,Fungal Infection,0.85,low
224,hamster,2,circular lesions hair loss scaly skin itching spreading,Fungal Infection,0.83,low
225,hamster,1,red skin hair loss scaly lesions itching crusty patches,Fungal Infection,0.81,low
226,fish,1,white spots itching flashing scraping against objects clamped fins lethargy loss of appetite,Ich White Spot,0.94,high
227,fish,2,white spots flashing scraping clamped fins lethargy loss of appetite mortality,Ich White Spot,0.91,high
228,fish,0.5,white spots flashing scraping against objects clamped fins sudden death,Ich White Spot,0.89,high
229,fish,1.5,itching white spots scraping clamped fins lethargy loss of appetite,Ich White Spot,0.87,high
230,fish,2,white spots flashing scraping against objects clamped fins loss of appetite,Ich White Spot,0.85,high
231,fish,1,fin deterioration ragged fins red edges black edges fuzzy fins poor water quality injured fish,Fin Rot,0.92,moderate
232,fish,2,ragged fins fin deterioration cloudy water poor water quality injured fish,Fin Rot,0.89,moderate
233,fish,1.5,fin deterioration fuzzy fins red edges black edges poor water quality,Fin Rot,0.86,moderate
234,fish,0.5,ragged fins fin deterioration red edges injured fish cloudy water,Fin Rot,0.84,moderate
235,fish,2,fin deterioration fuzzy fins black edges cloudy water poor water quality,Fin Rot,0.82,moderate
236,fish,1.5,bloated raised scales pinecone appearance swollen belly lethargy loss of appetite pale gills,Dropsy,0.93,critical
237,fish,2,bloated raised scales pinecone appearance eyes protruding lethargy loss of appetite,Dropsy,0.90,critical
238,fish,1,bloated pinecone appearance swollen belly lethargy pale gills loss of appetite,Dropsy,0.87,critical
239,fish,2,raised scales bloated swollen belly pinecone appearance lethargy,Dropsy,0.85,critical
240,fish,1.5,bloated raised scales pinecone appearance eyes protruding lethargy,Dropsy,0.83,critical
241,fish,1,floating lopsided sinking to bottom swimming upside down cant swim properly goldfish constipation,Swim Bladder Disorder,0.92,moderate
242,fish,2,sinking to bottom floating lopsided swimming upside down bloated constipation goldfish,Swim Bladder Disorder,0.89,moderate
243,fish,1.5,cant swim properly floating lopsided swimming upside down goldfish betta,Swim Bladder Disorder,0.86,moderate
244,fish,1,floating lopsided swimming upside down cant swim properly constipation betta,Swim Bladder Disorder,0.84,moderate
245,fish,2,sinking to bottom floating lopsided cant swim properly goldfish constipation,Swim Bladder Disorder,0.82,moderate
246,fish,1.5,visible worms thread-like parasites red inflammation scratching mucus excess ulcers near parasite,Anchor Worms,0.91,moderate
247,fish,2,visible worms thread-like parasites red inflammation scratching mucus excess,Anchor Worms,0.88,moderate
248,fish,1,thread-like parasites visible worms red inflammation ulcers near parasite scratching,Anchor Worms,0.86,moderate
249,fish,2,visible worms red inflammation scratching mucus excess ulcers,Anchor Worms,0.84,moderate
250,fish,1.5,thread-like parasites visible worms red inflammation ulcers near parasite,Anchor Worms,0.82,moderate
251,fish,1,gasping at surface red gills purple gills lethargy no appetite burns on body new tank overstocked,Ammonia Poisoning,0.94,critical
252,fish,2,gasping at surface red gills lethargy no appetite burns on body cloudy water,Ammonia Poisoning,0.91,critical
253,fish,1.5,red gills purple gills gasping at surface burns on body overstocked new tank,Ammonia Poisoning,0.88,critical
254,fish,1,gasping at surface red gills lethargy no appetite burns on body cloud, Ammonia Poisoning,0.86,critical
255,fish,2,gasping at surface purple gills lethargy no appetite burns on body new tank,Ammonia Poisoning,0.84,critical
256,reptile,2,soft bones bending legs rubbery jaw difficulty walking seizures twitching no UVB light lizard,MBD,0.93,critical
257,reptile,1,soft bones rubbery jaw bending legs twitching seizures poor diet lizard,MBD,0.90,critical
258,reptile,3,difficulty walking soft bones rubbery jaw seizures twitching no UVB exposure,MBD,0.87,critical
259,reptile,2,bending legs soft bones rubbery jaw twitching lethargy no UVB light,MBD,0.85,critical
260,reptile,1,soft bones rubbery jaw twitching seizures poor diet no UVB light,MBD,0.83,critical
261,reptile,2,gasping mouth breathing wheezing mucus from mouth lethargy loss of appetite bubbles from nose open-mouth breathing,Reptile Respiratory Infection,0.92,high
262,reptile,3,gasping mouth breathing wheezing lethargy loss of appetite bubbles from nose,Reptile Respiratory Infection,0.89,high
263,reptile,1,respiratory distress mouth breathing mucus from nose wheezing lethargy loss of appetite,Reptile Respiratory Infection,0.87,high
264,reptile,2,open-mouth breathing gasping wheezing cough bubbles from nose lethargy,Reptile Respiratory Infection,0.85,high
265,reptile,3,gasping mouth breathing wheezing lethargy loss of appetite respiratory signs,Reptile Respiratory Infection,0.83,high
266,reptile,1,tiny black dots mites on skin restlessness soaking frequently dark spots in joints anemia,Mite Infestation,0.92,moderate
267,reptile,2,tiny black dots mites on skin restlessness soaking frequently dark spots joints,Mite Infestation,0.89,moderate
